"ID";"okres";"kraj";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"sur_x";"sur_y";"tel_predvobla";"tel_cislo";"tel_cislo2";"tel_cislo3";"fax_cislo";"email";"email2";"email3";"adresa_www";"kod_kodsko";"postih";"postih1_nazov";"postih2_nazov";"postih3_nazov";"postih4_nazov"
"63";"Bratislava II";"Bratislavskı";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ dopravná";"Kvaèalova 20";"Bratislava - Ruinov";"82108";"17,1319";"48,1513";"02";"55969686";"55565676";;"55969722";"spsdkvac@ba.telecom.sk";;;"www.spsdkvacba.edu.sk";"030775311";;;;;
"64";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Medzilaborecká 11";"Bratislava - Ruinov";"82101";"17,1579";"48,1605";"02";"43631103";"43631084";"43330401";"43631103";"admin@zsmedzilabba.edu.sk";"zs.medzilaborecka@mail.t-com.sk";;"www.medzilabba.edu.sk";"031780776";;;;;
"65";"Bratislava II";"Bratislavskı";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Francúzsky bil.";"Gymnázium";"Spojená škola-Gymnázium";"Metodova 2";"Bratislava - Ruinov";"82108";"17,1271";"48,156";"02";"55575478";"50102421";;"55575400";"office@gmet.sk";"vaterkova@gmet.sk";;"www.gmet.sk";"042262488";;;;;
"66";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mierová 46";"Bratislava - Ruinov";"82105";"17,164";"48,1486";"02";"43292180";"43413861";;"43292180";"zsmierova_ba@centrum.sk";;;"www.zsmierovaba.edu.sk";"031780750";;;;;
"67";"Bratislava II";"Bratislavskı";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Mierová 46";"Bratislava - Ruinov";"82105";"17,1641";"48,1486";"02";"52932316";;;;"marta.dobranska@skdp.sk";;;;"042126363";;;;;
"68";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Nevädzová 2";"Bratislava - Ruinov";"82101";"17,1549";"48,152";"02";"43293165";"43634801";"43634802";"43293165";"zsnevadzova@atlas.sk";;;"www.zsnevadzova.szm.sk";"030810647";;;;;
"69";"Bratislava II";"Bratislavskı";"Samosprávny kraj";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Obchodná akadémia";"Nevädzová 3";"Bratislava - Ruinov";"82007";"17,1582";"48,1528";"02";"43420116";"43411158";;"43411159";"oanba@oanba.sk";"e.marosova@aonba.sk";;"www.oanba.sk";"017327652";;;;;
"71";"Bratislava II";"Bratislavskı";"Krajskı úrad, Okresnı úrad";"Základná škola";"Slovenskı";"Základná škola";"Základná škola Košická (PYP)";"Novohradská 3";"Bratislava - Ruinov";"82109";"17,1355";"48,1471";"02";"55576396";"55569725";;"55569725";;"munkova@gjh.sk";;"www.gjh.sk";"710202334";;;;;
"72";"Bratislava II";"Bratislavskı";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Gymnázium Jura Hronca";"Novohradská 3";"Bratislava - Ruinov";"82109";"17,1356";"48,1471";"02";"55576396";"55569725";;"55569725";"munkova@gjh.sk";"munkova@gjh.sk";;"www.gjh.sk";"036075213";;;;;
"73";"Bratislava II";"Bratislavskı";"Samosprávny kraj";"Športové gymnázium";"Slovenskı";"Športové gymnázium";"Športové gymnázium";"Ostredková 10";"Bratislava - Ruinov";"82102";"17,1706";"48,1609";"02";"43420305";"43422595";;"43425837";"sgostba@svsba.sk";"sportschool@gti.sk";;"www.gostredkovaba.edu.sk";"017337020";;;;;
"74";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Ostredková 14";"Bratislava - Ruinov";"82102";"17,1696";"48,1604";"02";"43415376";"43415377";;"43635045";"skola14ba@szm.sk";;;"www.zsostredkovaba.edu.sk/";"031780822";;;;;
"75";"Bratislava II";"Bratislavskı";"Samosprávny kraj";"SOŠ drevárska";"Slovenskı";"Stredná odborná škola";"SOŠ drevárska";"Pavlovièova 3";"Bratislava - Ruinov";"82104";"17,1662";"48,1657";"02";"43337601";"43410132";;;"skola@drevarskaba.edu.sk";"maria.panackova@drevarska.sk";;"www.drevarska.sk";"031754104";;;;;
"76";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Podzáhradná 51";"Bratislava - Podunajské Biskupice";"82107";"17,2062";"48,132";"02";"45243151";"45520588";;"45520588";"riaditel@zspodzaba.edu.sk";;;"www.zspodzaba.edu.sk";"031745041";;;;;
"77";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Rajèianska 3";"Bratislava - Vrakuòa";"82107";"17,21";"48,1386";"02";"45242962";"45259632";;"45259632";"rajcianska@zsraba.edu.sk";"krajcikova@inmail.sk";;"www.zsraba.edu.sk";"031780717";;;;;
"78";"Bratislava II";"Bratislavskı";"Súkromník";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"SOŠ";"Ruinovská 1";"Bratislava - Ruinov";"82601";"17,1744";"48,159";"02";"48289222";"48289238";;"43426186";"sousba@sous-ruzinov.sk";"hodurovaj@sous-ruzinov.sk";;"www.sous-ruzinov.sk";"000681881";;;;;
"79";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Ruová dolina 29";"Bratislava - Ruinov";"82109";"17,1433";"48,1506";"02";"53413278";;;"53413278";"zastupca@zsruzdoba.edu.sk";;;"www.zsruzoba.edu.sk";"031748180";;;;;
"80";"Bratislava II";"Bratislavskı";"Obèianske zdruenia";"ZŠ-roè.II. stupeò";"Slovenskı";"Základná škola";"Súkromná základná škola";"Ruová dolina 29";"Bratislava - Ruinov";"82109";"17,1434";"48,1506";"02";"55423734";;"0904348992";;"profkreatis@profkreatis.sk";;;"www.profkreatis.sk";"031789188";;;;;
"81";"Bratislava II";"Bratislavskı";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Ruová dolina 29";"Bratislava - Ruinov";"82109";"17,1435";"48,1506";;"0905281606";;;;"suzus@vnet.sk";;;;"030799937";;;;;
"82";"Bratislava II";"Bratislavskı";"Obèianske zdruenia";"Stredná pedagogická škola";"Slovenskı";"Stredná odborná škola";"Súkr. ped. a soc. akad";"Ruová Dolina 29";"Bratislava - Ruinov";"82109";"17,1436";"48,1506";"02";"53412593";;;;"profkreatis@profkreatis.sk";;;"www.profkreatis.sk";"030868645";;;;;
"83";"Bratislava II";"Bratislavskı";"Samosprávny kraj";"SOŠ obchodu a sluieb";"Slovenskı";"Stredná odborná škola";"SOŠ obch.a sluieb";"Sklenárova 1";"Bratislava - Ruinov";"82109";"17,1441";"48,15";"02";"53416719";"53412241";;"53412241";"souo-sj@stonline.sk";;;"www.sossklenarova.edupage.org";"000893463";;;;;
"84";"Bratislava II";"Bratislavskı";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Sklenárova 5";"Bratislava - Ruinov";"82109";"17,1466";"48,1509";"02";"53412919";"53632475";"53419544";"54312919";"lrajtera@zussklenarova.sk";;;"www.zussklenarova.sk";"031780725";;;;;
"85";"Bratislava II";"Bratislavskı";"Samosprávny kraj";"Stredná umelecká škola";"Slovenskı";"Stredná odborná škola";"SUŠ scénic.vytvarníctva";"Sklenárova 7";"Bratislava - Ruinov";"82489";"17,1463";"48,1517";"02";"53414613";"53414615";;"53414857";"skola@zsssvba.sk";"alzbeta.lehotska@zsssvba.sk";;"www.zsssvba.sk";"017314909";;;;;
